text,label
Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/12345 to claim now.,spam
Your account has been temporarily locked. Please log in at http://fake-bank.example.com to unlock.,phishing
"Hey, are you coming to the party tonight?",ham
Urgent! Your credit card has been compromised. Call 1800-FAKE-NUM immediately.,phishing
"Hi, this is your friend. Can you do me a favor and send me the verification code you just received?",phishing
This is just a normal message checking in on you. How have you been?,ham
You have one new voicemail. Please call 123456789 to listen.,spam
Your parcel is awaiting delivery. Please confirm your address at http://fake-parcel.com,phishing
Your verification code is 56667,ham
Your Microsoft verification code is 12345,ham
Google Verification code is 122334,phishing
Reset your bank account password at https://bakofamerica.com/resetpassword,phishing
Your pin code is 1234,ham
Your remaining balance is 1000 USD.,ham
"To stay connected, your subscription will be renewed automatically after the grace period. Please recharge the line with subscription amount within 2 days from automatic renewal date to avoid disconnection. You can cancel the automatic renewal option through *802#",ham
Brex: TelecomXChange LLC is waiting for you to add info to 4 of your expenses. Add receipts and memos in the Brex app.,ham
Reply STOP to unsub. Msg & data rates may apply.,ham
"T-Mobile: Welcome to Jordan! Your plan includes coverage that gives you unlimited data On Us now at faster speeds up to 256Kbps, plus unlimited texts at no extra cost! Calls are $0.25/min. Visit t-mo.co/intl-roam1 to learn more and view additional calling/data options. Enjoy your stay!",ham
Bank al Etihad Transfer Security Code: 888134 This code will be used to perform a transfer of 5 JOD from your account,ham
Code 88881,ham
(tbQqme3495Uq),ham
(SDlMaBFLp1Xg),ham
(J5bmhK9j0fYb),ham
(TC80HdVPu5Wk),ham
(b9ZaXXCH1SlP),ham
(On0EZvlVWgRq),ham
(hrBDFzA8BdI7),ham
Your Binance login verification code: 020688. Do not share this code with anyone. Visit your Binance account now.,ham
"Your Discord security code is: 719619 \
\
tzD9jY28Wrn",ham
From Netflix: Hi insanakamil. Your account is requesting a temporary access code. Please visit: m.netflix.com/i8YwJyZtgoT,ham
PayPal: 723033 is your security code. Don't share your code.,ham
"[PalFish]4549 (Kode verifikasi PalFish Class, berlaku dalam 10 menit)",ham
"SHOPEE: Ada percobaan untuk log in ke akunmu. Jika benar kamu, klik link ini untuk melanjutkan: shopee.co.id/dlink/verify/link?q=93xokmAV&event_type=1",ham
Your Discord verification code is: 263137,ham
"8450 adalah kode verifikasi Disney+ Hotstar Anda. Selamat menonton!\
 \
  ",ham
PayPal: 441232 is your security code. Don't share your code.,ham
"IKEA-kode 515819 untuk ubah password, berlaku 5menit",ham
"SHOPEE: Ada percobaan untuk log in ke akunmu. Jika benar kamu, klik link ini untuk melanjutkan: shopee.co.id/dlink/verify/link?q=93xokmAV&event_type=1",ham
Your Binance login verification code: 020688. Do not share this code with anyone. Visit your Binance account now.,ham
Your Bumble registration code is 599324. Please don't tell this code to anyone,ham
Use verification code 455488 for Microsoft authentication.,ham
Netflix: Kamu meminta untuk memperbarui Rumah dengan Akun Netflix untuk akunmu? Ketuk untuk mengonfirmasi bahwa ini kamu: m.netflix.com/eAeZlTlWi17,ham
"SHOPEE: Gunakan Kode OTP 392352 UNTUK DAFTAR AKUN SHOPEE. Hanya berlaku 15 menit. JANGAN berikan kode ke siapa pun, termasuk pihak Shopee.\
jKPmMcdNAgI",ham
"SHOPEE: Gunakan Kode OTP 392352 UNTUK DAFTAR AKUN SHOPEE. Hanya berlaku 15 menit. JANGAN berikan kode ke siapa pun, termasuk pihak Shopee.\
jKPmMcdNAgI",ham
Use verification code 712471 for Microsoft authentication.,ham
"spond to this SMS to let us know, Thank you for choosing us and we eagerly await your arrival! Regards, Juliet and Victoria",ham
"Masukkan kode verifikasi: 650566, untuk mengaktifkan SPayLater. Berlaku selama 15 menit. JANGAN beritahu kode ini ke siapa pun.\
jKPmMcdNAgI",ham
"Dear Rita, We're excited to welcome you tomorrow! To ensure a seamless check-in experience, could you please share your expected arrival time? You can re",ham
"Masukkan kode verifikasi: 650566, untuk mengaktifkan SPayLater. Berlaku selama 15 menit. JANGAN beritahu kode ini ke siapa pun.\
jKPmMcdNAgI",ham
Kode sekali pakai akun Microsoft: 8692410,ham
Netflix: Did you request to update the Netflix Household for your account? Tap to confirm this was you: m.netflix.com/jblMs5PjWNN,ham
Gunakan 621795 sebagai kode keamanan akun Microsoft,ham
"Your Discord security code is: 748077 \
\
tzD9jY28Wrn",ham
